Supersection,Assessment.Area,Associated.Species,Site.Class,Board.Feet,Basal.Area.(Square.Feet.per.Acre),Common.Practice.-.Above.Ground.Carbon.Mean.(Metric.Tonnes.CO2-equivalent),Species.Diversity.Index,Fire.Risk.Rating,Rotation.Length,Value.of.Harvest
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Mixed Upland Hardwoods,"Black cherry, black locust, black walnut, cherry, white ash, yellow poplar, elm, ash, black locust, hard maple, basswood, maple, beech, birch, red maple, oak, sassafras, persimmon, silver maple, American elm, sugar maple, beech, yellow birch, sugarberry, hackberry, green ash, sweetgum, sycamore, pecan",Low,2130.31005859375,67.4899978637695,45.71218377033743,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Oak-Hickory,"Chestnut oak, northern red oak, oak, hickory, white oak, red oak, hickory, yellow poplar",High,4088.2900390625,89.7600021362305,73.24603615999999,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Oak-Hickory,"Chestnut oak, northern red oak, oak, hickory, white oak, red oak, hickory, yellow poplar",Low,3435.48999023438,87.7699966430664,66.75377132389572,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Oak-Pine,"Bur oak, chestnut oak, black oak, scarlet oak, eastern red cedar, eastern white pine, northern red oak, white ash, juniper, loblolly pine, post oak, blackjack oak, scarlet oak, shortleaf pine, oak, southern scrub oak",High,3213.11010742188,87.6800003051758,63.590878118051975,0.65,0.04,Medium,Medium
Central Interior Broadleaf Forest Ozark Highlands,Central Interior Broadleaf Forest Ozark Highlands Oak-Pine,"Bur oak, chestnut oak, black oak, scarlet oak, eastern red cedar, eastern white pine, northern red oak, white ash, juniper, loblolly pine, post oak, blackjack oak, scarlet oak, shortleaf pine, oak, southern scrub oak",Low,1891.30004882813,85.2699966430664,52.33762309063641,0.65,0.04,Medium,Medium
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Cove Forest,Yellow-poplar / white oak / northern red oak,All,8329.08,104.49,94.35421203519999,0.85,0.04,Long,Low
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, oak, gum, cypress, overcup oak, water hickory, red maple, river birch, sycamore, swamp chestnut oak, cherrybark oak, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oak, willow oak",All,5885.52,97.22,81.96897319360001,0.65,0.04,Long,Low
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Mixed Upland Hardwoods,"Black locust, cherry, white ash, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum, yellow poplar",High,7123.4,98.63,82.1687351104,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Mixed Upland Hardwoods,"Black locust, cherry, white ash, yellow poplar, elm, ash, black locust, sassafras, persimmon, sweetgum, yellow poplar",Low,2604,64.54,47.44345524,0.7,0.04,Long,Low
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Northern Hardwoods,"Black cherry, hard maple, basswood, maple, beech, birch, red maple, silver maple, American elm, sugar maple,  yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",High,6766.24,100.12,89.6598069904,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Northern Hardwoods,"Black cherry, hard maple, basswood, maple, beech, birch, red maple, silver maple, American elm, sugar maple,  yellow birch, sugarberry, hackberry, elm, green ash, sycamore, pecan, American elm",Low,4711,88.82,76.60869509279999,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Oak-Hickory,"Black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, red maple, oak, red maple, scarlet oak, southern scrub oak, white oak, red oak, hickory, yellow poplar",High,8396.9500000000007,108.54,105.2745301536,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Oak-Hickory,"Black walnut, chestnut oak, black oak, scarlet oak, northern red oak, oak, hickory, post oak, blackjack oak, red maple, oak, red maple, scarlet oak, southern scrub oak, white oak, red oak, hickory, yellow poplar",Low,5965.96,97.27,92.15683095039999,0.65,0.04,Long,Medium
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Oak-Pine,"Eastern red cedar, eastern white pine, northern red oak, white ash, loblolly pine, longleaf pine, oak, pine, pitch pine, shortleaf pine, Virginia pine, southern red oak",All,3604.15,83.51,56.332860537600006,0.6,0.04,Medium,Low
Central Interior Broadleaf Forest Western Low Plateau,Central Interior Broadleaf Forest Western Low Plateau Pine,"Eastern white pine, red pine, shortleaf pine",All,9228.7199999999993,139.07,87.0296084192,0.8,0.04,Medium,Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Conifer Bog,"Black ash, American elm, red maple, cottonwood, elm, ash, black locust, red maple, sugarberry, hackberry, green ash, sweetbay, swamp tupelo, willow",All,1808.18994140625,98.7399978637695,42.91551960224701,0.8,0.04,Long,Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, elm, ash, black locust, red maple, sugarberry, hackberry, green ash, sweetbay, swamp tupelo, willow",All,858.75,75.870002746582,41.683654829662565,0.65,0.04,Long,Very Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Northern Hardwoods,"Blasck cherry, white ash, yellow-poplar, red maple, sugar maple, beech, yellow birch",High,2643.32006835938,107.360000610352,69.28408969872717,0.65,0.04,Long,Medium
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Northern Hardwoods,"Blasck cherry, white ash, yellow-poplar, red maple, sugar maple, beech, yellow birch",Low,2702.72998046875,105.160003662109,70.41607440194802,0.65,0.04,Long,Medium
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Pine Forests,"Eastern white pine, eastern hemlock, northern red oak, white ash, pine, red maple, oak, red pine, white oak, red oak, hickory",High,5990.759765625,128.970001220703,83.66694669228545,0.6,0.04,Long,Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Pine Forests,"Eastern white pine, eastern hemlock, northern red oak, white ash, pine, red maple, oak, red pine, white oak, red oak, hickory",Low,4244.4599609375,127.730003356934,80.23770451805198,0.6,0.04,Long,Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Poplar/Birch,"Aspen, birch, gray birch, paper birch, pin cherry",Low,1004.29998779297,74.6800003051758,40.15214667385727,0.7,0.04,Long,Very Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Poplar/Birch,"Aspen, birch, gray birch, paper birch, pin cherry",High,2176.44995117188,92.4800033569336,52.304328675805294,0.7,0.04,Long,Very Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Spruce-Fir,"Balsam fir, eastern hemlock, larch, red spruce, balsam fir, white spruce",High,3551.02001953125,118.73999786377,60.52786180644171,0.7,0.04,Long,Very Low
Central Maine & Fundy Coast & Ebayment,Central Maine & Fundy Coast & Ebayment Spruce-Fir,"Balsam fir, eastern hemlock, larch, red spruce, balsam fir, white spruce",Low,2016.57995605469,95.3899993896484,44.18067878966257,0.7,0.04,Long,Very Low
Central New Mexico,Central New Mexico Pinyon / Juniper Woodland,"Juniper, pinyon",All,0.82999998331069902,0.409999996423721,0,0.75,0.04,Long,Very Low
Chihuahuan Semi-Desert,Chihuahuan Mixed Oak Woodland,"Aspen, cottonwood, Douglas-fir, Englemann spruce, ponderosa pine, sassafras, persimmon, white fir",All,62.220001220703097,32.6699981689453,7.424484637902615,0.65,0.04,Long,Medium
Chihuahuan Semi-Desert,Chihuahuan Pinyon / Juniper Woodland,"Juniper, pinyon pine, scrub oak",All,0,28.9500007629395,4.960754298951291,0.75,0.04,Long,Very Low
Chihuahuan Semi-Desert,Chihuahuan Pinyon / Mesquite Woodland,Mesquite woodland,All,0,12.0200004577637,2.9298414305243474,0.85,0.04,Long,Very Low
Colorado Plateau,Colorado Plateau High Elevation Conifer,"Aspen, blue spruce, Douglas-fir, Engelmann spruce, limber pine, subalpine fir, whtie fir",All,6769.22998046875,113.430000305176,58.89647358127283,0.7,0.04,Long,Low
Colorado Plateau,Colorado Plateau Oak Woodland,"Cottonwood, oak woodland",All,929.17999267578102,58.3300018310547,22.772859023220825,0.7,0.04,Long,Very Low
Colorado Plateau,Colorado Plateau Pinyon/ Juniper Woodland,"Juniper, pinyon pine",All,35.7299995422363,84.3499984741211,19.010675875805198,0.8,0.04,Long,Very Low
Colorado Plateau,Colorado Plateau Ponderosa Pine,Ponderosa pine,All,6105.7900390625,69.0599975585938,41.58377158516888,0.9,0.04,Long,Low
Colorado River Canyon Lands,Colorado River Aspen,Aspen,All,4851.60009765625,79.1100006103516,47.210400686441716,0.9,0.04,Long,Very Low
Colorado River Canyon Lands,Colorado River Mixed Forest,"Blue spruce, cottonwood, oak woodland, Douglas-fir, Engelmann spruce, subalpine fir, white fir ",All,1559.73999023438,60.2200012207031,24.30436717902602,0.65,0.04,Long,Low
Colorado River Canyon Lands,Colorado River Pinyon / Juniper Woodlands,"Juniper, pinyon pine",All,0,80.2200012207031,19.077263117902614,0.75,0.04,Long,Very Low
Columbia Basin,Columbia Basin Mixed Conifer,"Aspen, cottonwood, Douglas-fir, willow, grand fir, Oregon white oak, ponderosa pine, juniper, lodgepole pine, western larch, red cedar, western white pine",All,5705.72998046875,61.439998626709,40.38520122741556,0.65,0.04,Long,Medium
Cross Timbers and Prairie,Cross Timbers and Prairie Lowland Hardwood,"Black ash, american elm, cottonwood, maple, beech, birch, oak, gum, cypress, water hickory, sugarberry, hackberry, green ash, sycamore, pecan, willow",All,1374.32995605469,49.4700012207031,30.197342073558353,0.7,0.04,Long,Low
Cross Timbers and Prairie,Cross Timbers and Prairie Oak / Hickory,"Mesquite, oak, hickory",All,183.19000244140599,37.5,16.347183016779177,0.65,0.04,Long,Low
Cross Timbers and Prairie,Cross Timbers and Prairie Oak / Pine / Cedar,"Black cherry,  bur oak, red cedar, post oak, blackjack oak, shortleaf pine",All,118.110000610352,60.689998626709,23.705080412584373,0.7,0.04,Long,Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Cove Forest,"Eastern hemlock, white pine, eastern hemlock, red maple, yellow poplar, white/red oak",High,7413.7900390625,99.3300018310547,91.22460740194802,0.65,0.04,Long,Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Cove Forest,"Eastern hemlock, white pine, eastern hemlock, red maple, yellow poplar, white/red oak",Low,5644.91015625,94.0599975585938,79.93806113483112,0.65,0.04,Long,Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Lowland Hardwoods,"Cottonwood, oak, gum, cypress, red maple, birch, sycamore, sweetbay, tupelo, red maple, willow",All,4377.990234375,71.3099975585938,57.964249016779135,0.65,0.04,Long,Very Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Mixed Upland Hardwoods,"Black locust, sassafras, persimmon, sweetgum, yellow poplar",Low,3012.22998046875,64.4300003051758,52.73714654322085,0.7,0.04,Long,Very Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Mixed Upland Hardwoods,"Black locust, sassafras, persimmon, sweetgum, yellow poplar",High,4858.83984375,78.3399963378906,67.35305809033743,0.7,0.04,Long,Very Low
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Northern Hardwoods,"Black cherry, basswood, maple, beech, birch, silver maple, American elm, sugar maple, hackberry, green ash, pecan",All,4968.72998046875,85.9800033569336,76.80845599355828,0.7,0.04,Long,Medium
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Oak-Hickory,"Chestnut oak, black oak, scarlet oak, red oak, hickory",High,6949.85009765625,103.480003356934,107.40531834457092,0.7,0.04,Long,Medium
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Oak-Hickory,"Chestnut oak, black oak, scarlet oak, red oak, hickory",Low,5493.89013671875,97.7600021362305,94.92020489483112,0.7,0.04,Long,Medium
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Oak-Pine,"Eastern redcedar, white pine, red oak, white ash, loblolly pine, pitch pine, shortleaf pine, Virginia pine, souther red oak",All,3425.36010742188,71.0299987792969,54.66817815161026,0.65,0.04,30,Medium
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Pine,"Eastern redcedar, loblolly pine, shortleaf pine, Virginia pine",Low,1926.82995605469,61.5,35.99044007385727,0.75,0.04,Short,Medium
Eastern Broadleaf Forest Cumberland Plateau & Valley,Eastern Broadleaf Forest Cumberland Plateau & Valley Pine,"Eastern redcedar, loblolly pine, shortleaf pine, Virginia pine",High,4027.09008789063,91.0299987792969,61.42679195610428,0.75,0.04,Short,Medium
Eastern Cascades,Eastern Cascade High Elevation Conifer,"Aspen, Engelmann spruce, subalpine fir, fir, spruce, mountain hemlock, lodgepole pine, noble fir, Pacific silver fir, red fir, western larch, white fir, whitebark pine",All,6015.02001953125,72.5400009155273,50.439882721948024,0.7,0.04,Extremely Long,Low
Eastern Cascades,Eastern Cascade Mixed Conifer,"Cercocarpus (mountain brush), cottonwood, willow, Douglas fir, giant chinkapin, grand fir, intermountain maple, Oregon white oak, pinyon/juniper, ponderosa pine, Port Orford cedar, red alder, sugar pine, western hemlock, western juniper, western oak, western red cedar",Low,6082.64013671875,74.1600036621094,48.4089710441947,0.65,0.04,Long,Medium
Eastern Cascades,Eastern Cascade Mixed Conifer,"Cercocarpus (mountain brush), cottonwood, willow, Douglas fir, giant chinkapin, grand fir, intermountain maple, Oregon white oak, pinyon/juniper, ponderosa pine, Port Orford cedar, red alder, sugar pine, western hemlock, western juniper, western oak, western red cedar",High,12253.8798828125,90.9199981689453,75.70976570516888,0.65,0.04,Long,Medium
Eastern Great Plains,Eastern Great Plains Mixed Woodland,"Black cherry, black walnut, bur oak, eastern red cedar, oak, hickory, post oak, blackjack oak, red pine, white oak, red oak",High,3623.55004882813,94.0500030517578,71.31500455161026,0.6,0.04,Long,Medium
Eastern Great Plains,Eastern Great Plains Mixed Woodland,"Black cherry, black walnut, bur oak, eastern red cedar, oak, hickory, post oak, blackjack oak, red pine, white oak, red oak",Low,1665.17004394531,66.9300003051758,47.97615317677915,0.6,0.04,Long,Medium
Eastern Great Plains,Eastern Great Plains Riverine Hardwoods,"Black ash, American elm, red maple, cottonwood, elm, ash, black locust, sugarberry, hackberry, green ash, sycamore, pecan, American elm, willow",High,3798.27001953125,85.9800033569336,66.75377132389572,0.6,0.04,Long,Very Low
Eastern Great Plains,Eastern Great Plains Riverine Hardwoods,"Black ash, American elm, red maple, cottonwood, elm, ash, black locust, sugarberry, hackberry, green ash, sycamore, pecan, American elm, willow",Low,1884.80004882813,68.75,48.87508332644172,0.6,0.04,Long,Very Low
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Aspen-Birch,"Aspen, birch",All,1969.01000976563,69.2200012207031,43.51480319355828,0.85,0.04,Long,Very Low
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Elm-Ash-Red Maple,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, red maple, river birch, sycamore, silver maple, American elm, sugarberry, hackberry, green ash, sweetbay, swamp tupelo ",All,3726.44995117188,79.9599990844727,58.46365253872717,0.7,0.04,Long,Very Low
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Northeast Conifer,"Eastern hemlock,eastern red cedar, eastern white pine, eastern hemlock, northern red oak, white ash, introduced larch, northern white cedar, Norway spruce, pitch pine, red pine, sassafras, persimmon, scotch pine, tamarack Virginia pine, southern red oak, white spruce",All,3703.26000976563,80.5899963378906,51.77163073902616,0.65,0.04,Long,Low
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Northern Hardwood,"Black cherry, cherry, white ash, yellow poplar, hard maple, basswood, maple, beech, birch, red maple, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash",High,5049.60009765625,104.139999389648,88.86076110127281,0.65,0.04,Long,Medium
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Northern Hardwood,"Black cherry, cherry, white ash, yellow poplar, hard maple, basswood, maple, beech, birch, red maple, sugar maple, yellow birch, sugarberry, hackberry, elm, green ash",Low,3573.92993164063,86.6399993896484,70.38277998711656,0.65,0.04,Long,Medium
Erie & Ontario Lake Plain,Erie & Ontario Lake Plain Oak-Hickory,"Black locust, black walnut, chestnut oak, black oak, scarlet oak, northern red oak, red maple, oak, white oak, red oak, hickory, yellow poplar",All,4537.66015625,111.330001831055,97.71687223805198,0.7,0.04,Long,Medium
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Hardwood & Cypress,"Bald cypress, pond cypress, water tupelo, overcup oak, water hickory, pond pine, red maple, sweetbay, swamp tupelo",All,3945.7099609375,105.790000915527,71.54805910516887,0.7,0.04,Long,Low
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Loblolly-Shortleaf-Oak,"Eastern red cedar, loblolly pine, oak, pine, southern scrub oak",All,1917.61999511719,49.9799995422363,37.08913036224701,0.6,0.04,Short,Medium
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Longleaf-Slash Pine,"Longleaf pine, oak, palms, sand pine, slash pine",High,1985.72998046875,94.370002746582,65.78825869483111,0.75,0.04,Medium,Low
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Longleaf-Slash Pine,"Longleaf pine, oak, palms, sand pine, slash pine",Low,1196.31005859375,61.2099990844727,35.69079669063642,0.75,0.04,Medium,Low
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Mixed Upland Hardwood,"Sassafras, persimmon, sweetgum, yellow poplar",All,3322.9599609375,74.7099990844727,66.72048325932481,0.75,0.04,Long,Low
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Oak-Hickory,"Oak, hickory, post oak, blackjack oak, white oak, red oak",All,7539.2099609375,110.23999786377,109.90234230457092,0.75,0.04,Long,Medium
Florida Coastal Plains Central Highlands,Florida Coastal Plains Central Highlands Riverine Hardwood,"Elm, ash, cottonwood, oak, gum, cypress, red maple, sugarberry, hackberry, green ash, sweetbay, swamp tupelo, sweetgum, nuttail oak, willow oak, willow",All,6207.91015625,108.309997558594,92.78941314771453,0.65,0.04,Long,Low
Florida Everglades,Florida Everglades Swamp & River Hardwood & Cypress,"Bald cypress, pond cypress, water tupelo, mangrove, oak, gum, cypress, sugarberry, hackberry, green ash elm, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oal, willow oak, willow",All,3503.919921875,113.540000915527,61.826312233558284,0.65,0.04,Long,Low
Florida Everglades,Florida Everglades Woodland Islands,"Melaleuca, oak, pine, palms, slash pine, southern scrub oak",All,1586.97998046875,90.9599990844727,37.12242160194802,0.65,0.04,Medium,Low
Great Divide Basin,Great Divide Basin Woodland,"Aspen, Douglas fir, Engelmann spruce, subalpine fir, juniper, pinyon, cottonwood, limber pine, lodgepole pine, ponderosa pine, sugarberry, hackberry, elm, green ash, blue spruce, deciduous oak",All,1163.03002929688,111.370002746582,27.99996149677917,0.65,0.04,Long,Low
Great Plains,Great Plains Woodland,"Cottonwood, deciduous oak, Douglas fir, juniper, pinyon, ponderosa pine, Rocky Mountain juniper, sugarberry, hackberry, elm, green ash, cottonwood, ash, eastern red cedar, sugarberry, hackberry",All,1048.34997558594,73.1500015258789,18.611152423220823,0.6,0.04,Long,Low
Gulf Coastal Plain,Gulf Coastal Plain Cypress & Swamp Hardwood,"Bald cypress, water tupelo, overcup oak, water hickory, swamp chestnut, cherrybark oak, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oak, willow oak",Low,5164.43994140625,108.440002441406,78.90595967610427,0.65,0.04,Long,Low
Gulf Coastal Plain,Gulf Coastal Plain Cypress & Swamp Hardwood,"Bald cypress, water tupelo, overcup oak, water hickory, swamp chestnut, cherrybark oak, sweetbay, swamp tupelo, red maple, sweetgum, nuttail oak, willow oak",High,7150.14990234375,108.330001831055,91.55754519999999,0.65,0.04,Long,Low
Gulf Coastal Plain,Gulf Coastal Plain Loblolly-Shortleaf-Oak,"Eastern red cedar, loblolly pine, shortleaf pine, oak, southern scrub oak",High,5183.85009765625,85.6100006103516,60.86079960449369,0.65,0.04,Short,Low
Gulf Coastal Plain,Gulf Coastal Plain Loblolly-Shortleaf-Oak,"Eastern red cedar, loblolly pine, shortleaf pine, oak, southern scrub oak",Low,3218.080078125,68.379997253418,43.947621060973844,0.65,0.04,Short,Low
Gulf Coastal Plain,Gulf Coastal Plain Longleaf-Slash Pine,"Longleaf pine, oak, slash pine",High,4320.990234375,75.6100006103516,59.42917151805197,0.75,0.04,Medium,Low
Gulf Coastal Plain,Gulf Coastal Plain Longleaf-Slash Pine,"Longleaf pine, oak, slash pine",Low,2245.44995117188,64.4300003051758,41.517185930636415,0.75,0.04,Medium,Low
Gulf Coastal Plain,Gulf Coastal Plain Mixed Hardwoods,"Oak, hickory, post oak, blackjack oak, white oak, red oak, sassafras, persimmon, sweetgum, yellow poplar",Low,2547.86010742188,65.9300003051758,50.53976596644171,0.65,0.04,Long,Medium
Gulf Coastal Plain,Gulf Coastal Plain Mixed Hardwoods,"Oak, hickory, post oak, blackjack oak, white oak, red oak, sassafras, persimmon, sweetgum, yellow poplar",High,3046.330078125,62.3699989318848,48.84178891161025,0.65,0.04,Long,Medium
Gulf Coastal Plain,Gulf Coastal Plain Riverine Hardwood,"Black ash, American elm, red maple, cottonwood, willlow, oak, gum, cypress, red maple, river birch, sycamore, sugarberry, hackbberry, elm, green ash, pecan, American elm, willow",High,5351.81005859375,75.1399993896484,63.12476266067519,0.7,0.04,Long,Very Low
Gulf Coastal Plain,Gulf Coastal Plain Riverine Hardwood,"Black ash, American elm, red maple, cottonwood, willlow, oak, gum, cypress, red maple, river birch, sycamore, sugarberry, hackbberry, elm, green ash, pecan, American elm, willow",Low,3112.8701171875,67.8499984741211,49.9404792,0.7,0.04,Long,Very Low
Idaho Batholith,Idaho Batholith Douglas-fir / Ponderosa,"Douglas-fir, ponderosa pine",All,10453.9296875,87.1600036621094,66.88694898322086,0.9,0.04,Long,Medium
Idaho Batholith,Idaho Batholith Lodgepole Pine,Lodgepole pine,All,5455.60009765625,53.6500015258789,38.021351751610254,0.9,0.04,Long,Very Low
Idaho Batholith,Idaho Batholith Mixed Conifer,"Cercocarpus (mountain brush), cottonwood, intermountain maple hardwood ",All,4989.490234375,42.1100006103516,31.46250126097398,0.65,0.04,Long,Very Low
Idaho Batholith,Idaho Batholith Ponderosa Pine,"Ponderosa pine, aspen, Engelmann spruce, subalpine fir, whitebark pine",All,6643.77001953125,68.3499984741211,38.687224172584436,0.9,0.04,Long,Low
Idaho Batholith,Idaho Batholith Spruce / Fir,"Aspen, Engelmann spruce, subalpine fir, whitebark pine",All,1118.69995117188,29.4699993133545,12.585000663146094,0.75,0.04,Long,Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Conifer Bog,"Black spruce, northern white cedar, tamarack",All,2194,86.9199981689453,34.89174661033743,0.8,0.04,Long,Very Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Lowland Hardwoods,"Balsam poplar, black ash, American elm, red maple, elm, ash, black locust, cottonwood, river birch, sycamore, silver maple, willow",All,1019.80999755859,60.8199996948242,33.22706397033753,0.6,0.04,Long,Very Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Northern Hardwoods,"Black cherry, hard maple, basswood, maple, beech, birch, red maple, sugar maple, yellow birch",All,1675.98999023438,75.9800033569336,51.23893280224701,0.65,0.04,Long,Medium
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Oak-Hickory,"Eastern white pine, northern red oak, white ash, oak, hickory, red maple, white oak, red oak",All,1771.10998535156,36.4199981689453,21.507699835805198,0.65,0.04,Long,Medium
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Pine Forests,"Eastern white pine, jack pine, red pine",All,3850.7099609375,80.3600006103516,40.68484461063641,0.75,0.04,Medium,Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Poplar/Birch,"Aspen, birch, paper birch, pin cherry",High,1722.15002441406,75.9700012207031,39.353096593558284,0.75,0.04,Long,Very Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Poplar/Birch,"Aspen, birch, paper birch, pin cherry",Low,1739.93994140625,66.4199981689453,35.95714565902615,0.75,0.04,Long,Very Low
Laurentian Mixed Forest Arrowhead,Laurentian Mixed Forest Arrowhead Spruce-Fir,"Balsam fir, spruce, fir, white spruce",All,2299.43994140625,67.7300033569336,30.563574286441646,0.85,0.04,Long,Very Low
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Conifer Bog,"Black spruce, northern white cedar, tamarack",High,4875.66015625,133.25,63.091474596104284,0.85,0.04,Long,Very Low
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Conifer Bog,"Black spruce, northern white cedar, tamarack",Low,3385.11010742188,151.979995727539,58.46365253872717,0.85,0.04,Long,Very Low
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, river birch, sycamore, silver maple, American elm, sugarberry, hackberry, green ash",High,3561.8798828125,92.5299987792969,62.62535913872716,0.6,0.04,Long,Low
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Lowland Hardwoods,"Black ash, American elm, red maple, cottonwood, willow, elm, ash, river birch, sycamore, silver maple, American elm, sugarberry, hackberry, green ash",Low,1584.63000488281,88.4400024414063,45.445834801948024,0.6,0.04,Long,Low
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Northern Hardwoods,"Cherry, white ash, yellow poplar, eastern hemlock, hard maple, basswood, maple, beech, birch, red maple, sugar maple, yellow birch",High,5585.5,102.889999389648,83.00107744644171,0.6,0.04,Long,Medium
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Northern Hardwoods,"Cherry, white ash, yellow poplar, eastern hemlock, hard maple, basswood, maple, beech, birch, red maple, sugar maple, yellow birch",Low,4577.72021484375,103.919998168945,71.91429131805198,0.6,0.04,Long,Medium
Laurentian Mixed Forest Green Bay Lobe,Laurentian Mixed Forest Green Bay Lobe Pine-Oak-Hickory,"Bur oak, eastern red cedar, eastern white pine, northern red oak, white ash, oak, hickory, pine, red maple, red pine, white oak, red oak",Low,5285.6201171875,86.5999984741211,63.69075501228546,0.6,0.04,Long,Medium
